timesteps,updates,loss,policy_loss,value_loss,entropy,mean_return
19712,200,2.6593937584757805,-0.05908332362305373,2.736415066421032,1.793799459338188,-8.000000000000002
19840,200,2.929054587483406,-0.07069021822884679,3.0163445961475372,1.6599793708324433,-21.124999999999996
19968,200,9.193690677881241,-0.018697950579226016,9.229607108831406,1.7218470174074172,-41.875
20096,200,3.5631603664159774,-0.07588891075924038,3.657752876877785,1.8703610134124755,-24.374999999999993
20224,200,4.655740704536438,-0.0642554468009621,4.73728562772274,1.7289474415779114,-23.424999999999997
20352,200,4.718579384088517,-0.05133045352064073,4.787287991046906,1.7378166425228119,-25.6
20480,200,3.3388087821006773,-0.07813432530965655,3.4328759038448333,1.5932802575826646,-23.75
20608,200,5.480962156057358,-0.06471074121072888,5.562186049222946,1.65131740629673,-19.125
20736,200,2.1770908495783807,-0.09773093103896827,2.290843102633953,1.6021332985162735,-25.274999999999995
20864,200,4.226983952522278,-0.06344798680627718,4.3063817465305325,1.5949821454286575,-31.25
20992,200,3.643647053837776,-0.05632958571659401,3.715117235183716,1.514060006737709,-23.349999999999994
21120,200,2.989416021704674,-0.060626305229961874,3.0658519873023033,1.5809664744138718,-23.349999999999998
21248,200,2.121445001065731,-0.07461724237073213,2.2113082706928253,1.5246017748117446,-19.1
21376,200,2.9105023097991944,-0.07034484433941543,2.996966251730919,1.6119098418951034,-23.749999999999996
21504,200,2.0694556438922884,-0.07649218732491135,2.1631213769316675,1.7173542577028273,-30.499999999999993
21632,200,3.514308684170246,-0.0766689289547503,3.6060225611925123,1.5044946026802064,-22.79999999999999
21760,200,3.405537065565586,-0.055890399338677524,3.476884887218475,1.5457422775030136,-15.550000000000002
21888,200,2.8389666855335234,-0.09372177571989596,2.9499946880340575,1.730622346997261,-22.14999999999999
22016,200,2.181673335880041,-0.08551555929239839,2.2834960766136647,1.6307172870635986,-19.550000000000004
22144,200,3.0954900223016737,-0.07968509000726044,3.1922227478027345,1.704763407111168,-20.074999999999992
22272,200,2.863319655656815,-0.0659598993882537,2.945211689174175,1.5932118886709212,-19.800000000000004
22400,200,2.7135133984684945,-0.06780020700767636,2.798337435424328,1.7023823326826095,-33.624999999999986
22528,200,3.5275205793976783,-0.04918756579514593,3.5938519781827925,1.7143850010633468,-26.09999999999998
22656,200,4.974862831234932,-0.05381153529509902,5.044767157435417,1.6092776292562485,-24.799999999999986
22784,200,4.404996391534805,-0.06646572492551059,4.487365127205849,1.5903030163049698,-34.775
